south	male	union	hisp	black	income01	tpid
0	1	0	1	0	.3703704	0
0	1	0	1	0	.3703704	0
0	0	1	1	0	.3333333	0
0	0	1	1	0	.3333333	0
0	1	1	1	0	.5925926	0
0	1	0	1	0	.3477294	0
0	0	0	1	0	.4814815	0
0	1	0	1	0	.037037	0
0	1	0	1	0	0	0
0	0	0	1	0	.6296296	0
0	0	0	1	0	.5555556	0
0	1	0	1	0	.0740741	0
0	1	0	1	0	.3703704	0
0	0	1	1	0	.4027194	0
0	1	0	1	0	.2592593	0
0	0	1	1	0	.0740741	0
0	0	0	1	0	.6296296	2
0	0	0	1	0	0	0
0	0	0	1	0	.8518519	0
0	0	0	1	0	.325478	0
0	1	0	1	0	.1851852	0
0	1	1	1	0	.7037037	0
0	1	0	1	0	.2962963	0
0	1	0	1	0	.4255534	0
0	1	1	1	0	.4444444	0
0	0	0	1	0	.7777778	2
0	1	1	1	0	.6296296	0
0	0	0	1	0	.5185185	2
0	0	1	1	0	.8148148	1
0	1	1	1	0	.7407407	0
0	1	0	1	0	.8148148	2
0	0	0	1	0	.4444444	0
0	1	1	1	0	.8888889	0
0	1	1	1	0	.9259259	1
0	0	0	0	0	0	0
0	0	0	1	0	.6296296	0
0	1	0	1	0	.7407407	0
0	1	0	1	0	.1111111	1
1	0	0	1	0	.304174	0
1	1	0	1	0	.3441788	0
1	0	0	0	1	.037037	2
1	1	0	0	1	.4074074	0
1	1	0	0	1	.8148148	0
1	0	1	0	1	.3703704	0
1	1	0	0	1	.6296296	0
1	0	1	0	0	.6765646	0
1	0	0	0	1	.4074074	0
1	1	0	0	1	.3862703	0
1	0	0	0	1	.2222222	0
1	1	0	0	1	0	0
1	1	0	0	1	.037037	0
1	0	0	0	1	.4444444	0
1	0	0	0	1	.5185185	0
1	0	0	0	1	.6296296	0
1	0	0	0	1	.5555556	0
1	0	0	0	1	.4444444	0
1	1	0	0	1	.8148148	0
1	0	0	0	1	.7777778	0
1	1	0	0	1	.7037037	0
1	1	0	0	1	.6296296	0
1	0	0	0	1	.4074074	0
1	1	0	0	1	.5185185	0
1	0	0	0	1	.4074074	0
1	0	0	0	1	.2592593	0
1	0	0	0	1	.4444444	0
1	1	0	0	1	.4444444	0
1	0	0	0	1	.7777778	0
1	0	0	0	1	.3703704	0
1	1	0	0	0	.2984307	2
1	1	0	0	1	.7777778	2
1	1	0	0	1	.3933717	0
1	0	0	0	1	.2480465	0
1	0	0	0	1	0	1
1	1	0	0	1	.2222222	0
0	0	0	0	1	.3703704	0
0	0	0	0	1	.037037	0
0	0	0	0	1	.6666667	0
0	1	0	0	1	.6666667	0
