income	ideo	ruling	age	male	black	hisp	soph	sclaw	college
8	4	1	46	1	1	0	5	4	0
14	4	1	51	0	0	0	6	1	0
13	4	1	48	0	0	0	5	3	1
10	5	1	34	0	0	1	4	4	1
1	3	1	39	0	0	0	3	3	0
4	4	1	67	1	0	0	8	2	0
12	4	0	46	0	0	0	8	4	0
6	4	1	83	0	0	0	9	2	0
6	3	1	32	1	0	0	3	2	0
8	4	1	37	1	0	1	8	2	0
14	4	1	43	1	0	0	5	1	0
11	5	1	24	1	0	0	10	5	1
4	5	0	33	1	0	0	8	2	0
5	4	1	40	1	0	0	8	2	0
6	5	1	83	1	0	0	10	1	0
7	4	1	80	0	0	0	4	2	0
6	3	0	49	0	0	0	5	1	0
15	3	1	77	0	0	0	9	1	0
7	5	1	28	1	0	0	9	1	1
3	4	1	73	1	0	0	7	1	0
9	4	1	53	1	1	0	10	1	1
15	4	1	66	1	0	0	9	5	1
9	4	1	54	0	0	0	5	4	0
15	1	0	48	1	0	0	3	1	0
3	5	1	22	0	0	0	8	1	0
10	4	1	41	1	0	0	10	2	0
15	4	1	21	0	0	0	3	2	0
14	5	1	72	1	0	0	10	1	1
6	4	0	68	0	0	0	6	5	0
1	5	1	20	1	0	0	9	5	0
5	5	1	27	1	0	0	5	1	0
14	3	1	57	0	0	0	10	2	1
8	3	1	49	1	0	0	9	3	1
7	4	1	21	0	0	0	7	2	0
12	4	1	49	1	0	1	8	1	0
7	5	1	47	1	0	0	10	1	0
12	3	1	73	1	0	0	6	1	0
6	4	1	60	0	0	0	4	3	0
7	5	1	52	1	0	0	9	5	0
7	4	1	50	0	0	0	5	2	0
8	4	1	73	1	0	0	10	2	0
8	4	1	54	0	0	0	10	1	0
11	3	1	53	0	0	0	9	2	0
10	4	1	19	1	0	0	5	1	0
13	5	1	46	1	0	0	10	1	1
14	5	1	49	1	0	0	10	5	1
8	4	1	65	0	0	0	9	1	0
10	4	1	62	1	0	0	9	3	1
9	3	1	59	1	0	0	10	5	0
11	3	1	52	1	0	0	10	1	0
8	5	1	46	1	0	0	9	4	0
13	4	1	56	1	0	0	10	2	1
4	4	1	33	0	0	0	5	2	1
15	4	1	59	1	0	0	10	1	1
11	3	1	61	0	0	0	2	1	0
11	4	1	52	1	0	0	9	1	0
