south	male	age01	unemp	union	income01	auth01	extrav01	agree01	consc01	stable01	openness01	econ01	educ1	educ2	educ3	educ4	educ5
0	0	.5833333	0	0	.2747706	.75	.4166667	.9166667	1	.9166667	.5833333	.2666667	1	0	0	0	0
0	1	.4166667	0	0	.6296296	.5	.6666667	.25	1	.4166667	.4166667	.1666667	0	0	0	1	0
0	0	.5833333	0	0	.962963	1	.9166667	.9166667	1	.8333333	.8333333	.4	0	0	0	1	0
0	1	.5	1	0	.3703704	.5	.5833333	.4166667	.5	.4166667	.6666667	.7333333	0	1	0	0	0
0	1	.75	0	0	.1481481	.5	.5833333	.5	.8333333	.6666667	.75	.5666667	0	1	0	0	0
0	1	.75	0	0	.037037	0	.3333333	.75	.8333333	.8333333	.8333333	.625	0	1	0	0	0
0	1	.5	0	0	.9259259	0	.6666667	.6666667	1	.8333333	1	.2333333	0	0	0	0	1
0	0	.5	0	0	.3703704	.75	.25	.8333333	.75	.3333333	.5	.4166667	1	0	0	0	0
0	1	.75	0	0	.6666667	.5	.5833333	.9166667	.8333333	.5	.9166667	.0666667	0	0	0	1	0
0	1	.75	1	0	.8518519	0	.4166667	.5	.8333333	.6666667	.8333333	.3666667	0	0	0	1	0
0	0	.6666667	0	0	.4814815	.25	.75	.6666667	.9166667	.9166667	.6666667	.5833333	0	0	1	0	0
0	1	.6666667	0	0	.6666667	.25	.75	.5	1	0	.6666667	.6666667	1	0	0	0	0
0	1	.75	0	0	.6296296	.5	.5	.75	.9166667	.5833333	.25	.6	1	0	0	0	0
0	0	0	0	0	.7777778	.25	.8333333	.6666667	.5	.5833333	.5833333	.5333334	0	0	1	0	0
0	1	.4166667	0	1	.3703704	.5	.5833333	.5833333	.5833333	.6666667	.6666667	.5333333	0	0	1	0	0
0	0	.6666667	0	0	.5925926	.75	.9166667	.5	.5	.9166667	.5	.5666667	0	0	1	0	0
0	0	.3333333	0	0	.0740741	.5	.5	.5	.5833333	.6666667	.5	.5416667	0	1	0	0	0
0	0	.75	0	1	0	.5	.25	.6666667	.6666667	.25	.3333333	.3333333	0	1	0	0	0
0	0	.8333333	0	0	.4444444	.25	.9166667	.8333333	1	1	.9166667	.5416667	0	0	0	0	1
0	0	.5833333	0	0	.0740741	1	.4166667	.5	.25	.1666667	.5	.6666667	1	0	0	0	0
0	1	.4166667	0	0	.4814815	.75	.5833333	.5833333	1	.5	.8333333	.7	0	0	1	0	0
0	0	.5	0	0	.5555556	.5	.3333333	.9166667	.9166667	.4166667	.5833333	.4333333	0	0	1	0	0
0	0	.4166667	0	0	.6666667	.25	.75	.75	.9166667	.5	.8333333	.0666667	0	0	0	1	0
0	0	.9166667	0	0	.4951962	.75	.5833333	.6666667	.8333333	.4166667	.5833333	.6	0	0	1	0	0
0	0	1	0	0	.1481481							.5	0	1	0	0	0
0	1	1	0	0	.8148148	0	.5	.8333333	.8333333	.75	.6666667	.8666667	0	0	0	1	0
0	1	.8333333	0	0	.6296296	0	.6666667	.75	1	1	1	.9	0	0	0	0	1
0	0	1	0	0	.8518519	0	.4166667	.9166667	.8333333	.25	.5833333	.6	0	0	0	1	0
0	0	.75	0	0	.7407407	.75	.8333333	.9166667	.8333333	.8333333	.75	.3333333	0	0	0	1	0
0	0	1	0	0	.037037	.5	.5	.5	.9166667	.25	.75	.5416667	0	0	0	1	0
0	0	.5	0	0	.5925926	.5	.4166667	.9166667	.5833333	.8333333	.5	.5666667	0	0	1	0	0
0	0	1	0	0	.6018584	.75	.5	.8333333	1	.9166667	.5	.625	0	0	0	1	0
0	1	0	0	0	.5185185	.75	.1666667	.5	.3333333	.8333333	.6666667	.6333333	1	0	0	0	0
0	1	.4166667	0	0	.5555556	.75	.9166667	.4166667	.5	.5	.75	.4666667	0	1	0	0	0
0	0	.5833333	0	1	.5925926	0	.5	.75	.8333333	.3333333	.75	.3666667	0	1	0	0	0
0	0	.6666667	0	0	.1481481	.75	.5	.9166667	.9166667	.5833333	.5	.2	1	0	0	0	0
0	1	.6666667	0	0	.1851852	0	.3333333	.9166667	.5	.5833333	.8333333	.7333333	0	0	0	1	0
0	1	.5	0	0	.4074074	.25	.8333333	.8333333	.9166667	.9166667	.5833333	.625	0	0	1	0	0
0	1	.8333333	0	1	.8148148	0	.5833333	.5833333	.5	.75	.75	.8333333	0	0	0	0	1
0	1	.25	0	0	.5185185	.25	.9166667	.75	.75	.6666667	.8333333	.6	0	0	1	0	0
0	0	.3333333	0	0	.3703704	.5	.5	1	1	1	1	.1333333	0	0	0	1	0
0	0	.75	0	0	.7037037		.5833333	.6666667	.6666667	.5	.5833333	.4333333	0	0	1	0	0
0	1	.75	0	0	.7407407	.75	.8333333	.6666667	.9166667	.75	.75	.2666667	0	0	0	1	0
0	1	1	0	0	.1851852							.375	1	0	0	0	0
0	0	.5833333	0	1	.6666667	1	.5833333	.6666667	.6666667	.25	.5	.5	0	1	0	0	0
0	1	.5833333	0	0	.9259259	1	.5833333	.5	.75	.6666667	.6666667	.4583333	0	0	1	0	0
0	0	.5	0	0	.4444444	.75	.5	.6666667	.8333333	.5833333	.8333333	.4333333	0	1	0	0	0
0	1	.75	0	0	.6666667							.2222222	0	1	0	0	0
0	0	.6666667	0	1	.5555556	.75	.5	.5	.75	.5	.5	.2666667	0	1	0	0	0
0	0	.5833333	0	0	0							.25	0	0	1	0	0
0	0	.5833333	0	0	.8888889	.75	.3333333	.8333333	.75	.6666667	.6666667	.4	0	0	1	0	0
0	1	.75	0	0	.5925926	.25	.8333333	.8333333	.6666667	.0833333	.5	.3	0	0	0	0	1
0	1	.5833333	0	0	.5925926	.75	.5833333	.75	.6666667	.1666667	.4166667	.25	0	1	0	0	0
0	0	.3333333	0	0	.7037037	.25	.4166667	.8333333	.9166667	.75	.5833333	.2	0	0	1	0	0
0	1	.4166667	0	0	.4074074	.75	.5	.5833333	.5833333	.5833333	.5	.3	1	0	0	0	0
0	0	.25	0	0	.0740741	1	.5	.4166667	.75	.5833333	.6666667	.5416667	1	0	0	0	0
0	1	.75	0	0	.2222222	.75	.5	.5	.5	.5	.5	.4	0	0	1	0	0
0	0	.4166667	0	1	.8888889	.25	.8333333	.9166667	1	1	.8333333	.5333334	0	1	0	0	0
0	0	.75	0	0	.5185185	.75	.5	.5833333	.6666667	.3333333	.6666667	.5666667	0	1	0	0	0
0	0	.5833333	0	0	.5925926	.375	.5	.8333333	.8333333	.75	.5833333	.0833333	0	0	1	0	0
0	1	.5833333	0	0	.5185185	1	1	.5	.9166667	.9166667	.8333333	.6333333	0	1	0	0	0
0	0	.6666667	0	0	.4845442	.75	1	.6666667	.8333333	.5833333	1	.6111111	0	0	1	0	0
0	0	.9166667	0	1	.3333333	.5	.8333333	.5833333	.8333333	.5833333	.75	.5666667	0	0	0	1	0
0	0	1	0	0	.7049699	.5	.5	.6666667	.9166667	.5833333	.5833333	.8888889	0	0	0	0	1
0	0	.5	0	0	.8148148	.5	.5833333	.5833333	.9166667	.9166667	.6666667	.3	0	0	1	0	0
1	1	.4166667	0	0	.0740741	.5	.5	.6666667	.75	.4166667	.75	.3666667	0	0	1	0	0
1	1	.8333333	0	0	.4444444	.75	.5	.5833333	1	.8333333	.5833333	.4166667	1	0	0	0	0
1	1	.5	0	0	.4074074	.25	.5833333	.6666667	.8333333	.75	.6666667	.8	1	0	0	0	0
1	1	.4166667	0	0	.5925926	.75	.8333333	.6666667	.75	.6666667	1	.3333333	0	0	1	0	0
1	1	.75	1	0	0	.75	.5	.75	.8333333	.5833333	.5	.5416667	0	1	0	0	0
1	1	1	0	0	.2962963	1	.5833333	.5833333	1	.5	.6666667	.5666667	0	0	0	1	0
1	0	.75	0	0	.5555556	1	.5833333	1	.8333333	1	.8333333	.1666667	0	0	1	0	0
1	1	.25	0	0	.8148148	0	.5	.4166667	.9166667	.5	.8333333	.9333333	0	0	0	0	1
1	1	.4166667	0	0	.9259259	.5	.5	.75	.8333333	.8333333	.9166667	.7333333	0	0	0	1	0
1	0	.0833333	0	0	.0740741	.75	.9166667	.9166667	.9166667	.9166667	.8333333	.4666667	0	0	0	1	0
1	0	.8333333	0	0	.7777778	.5	.5833333	.8333333	.6666667	.75	.75	.2916667	0	0	0	0	1
1	1	.1666667	1	0	.4444444	.625	.1666667	1	1	.5	.75	.4666667	0	0	0	1	0
1	1	.6666667	1	0	.5925926	0	.9166667	.8333333	.75	.8333333	.9166667	.8666667	0	0	0	0	1
1	0	.5833333	0	0	.8888889	0	.8333333	.6666667	.6666667	.5833333	.75	.5333333	0	0	0	0	1
1	1	.25	0	0	1	0	.8333333	.5833333	.5833333	.8333333	.6666667	.6666667	0	0	0	0	1
0	0	.8333333	0	1	.388534	.625	.8333333	1	1	.6666667	.75	.5	0	1	0	0	0
0	0	.5833333	0	1	.7037037	.75	.3333333	.6666667	1	.3333333	.75	.5666667	0	1	0	0	0
0	0	.8333333	0	0	.5925926	.5	.5	.5	.5	.5	.5	.3333333	0	0	1	0	0
0	0	.6666667	0	0	.6666667	.5	.5833333	.5833333	1	.5	.9166667	.8	0	1	0	0	0
0	1	.5833333		1	.5195897	.625	.9166667	.4166667	1	.3333333	1	.5333333	0	0	1	0	0
0	0	.3333333	0	1	.4074074	.75	.4166667	.75	1	.5833333	.5833333	.6333333	0	0	1	0	0
0	0	.8333333	0	0	.5925926	.5	.4166667	.75	.8333333	.5	.6666667	.5666667	0	0	0	0	1
0	1	.6666667	0	0	.3703704	.5	.5	.5	1	.6666667	.9166667	.4666667					
1	1	.4166667	1	0	.4036842	.75	.5	.8333333	.5833333	.8333333	.3333333	.5	0	1	0	0	0
1	0	.3333333	0	0	.4074074	.25	.25	.75	.75	.5	.5833333	.5833333	0	1	0	0	0
1	0	.5833333	1	0	0	1	.6666667	.5833333	.9166667	.6666667	.75	.4	0	1	0	0	0
1	1	.0833333	0	0	.1481481	.75	.6666667	.25	.3333333	.5833333	.4166667	.3666667	1	0	0	0	0
1	0	.4166667	0	0	.2592593	.75	.9166667	.8333333	.9166667	.8333333	.6666667	0	0	0	1	0	0
0	0	.3333333	0	0	.4444444							.5555556	0	0	1	0	0
0	0	.4166667	0	0	.5770038	.5	.8333333	.5833333	.4166667	.1666667	.8333333	.1666667	0	0	0	1	0
0	1	1	0	0	.037037	.75	.6666667	.5833333	.5833333	.3333333	.5	.5416667	0	1	0	0	0
0	1	.6666667	0	0	.5185185	1	.9166667	.4166667	.9166667	.25	.75	.3	0	1	0	0	0
0	0	.1666667	0	1	.4074074	.75	.4166667	.9166667	1	.5833333	1	.6666667	0	1	0	0	0
0	0	.9166667	0	0	.037037	.75	.25	.8333333	.8333333	.75	.5833333	.5	1	0	0	0	0
0	0	.8333333	0	0	.3333333	1	.25	.5833333	.5	.75	.4166667	.4166667	1	0	0	0	0
0	1	1	0	0	.4814815	.5	.5	.9166667	.9166667	.8333333	.75	.2666667	0	0	0	1	0
0	1	.4166667	0	1	.5555556	1	.4166667	.6666667	.5	.3333333	.6666667	.4333333	0	1	0	0	0
0	1	.0833333	0	0	.2962963	.5	.8333333	.75	1	.75	.5833333	.1333333	0	1	0	0	0
0	1	.3333333	0	0	.7037037	.75	.5833333	.5	.5833333	.5	.4166667	.0666667	0	1	0	0	0
0	0	.5833333	0	0	.7407407	1	.6666667	.6666667	.9166667	.5	.75	.1333333	0	0	1	0	0
0	1	.5833333	0	1	.962963	0	.5	1	1	.8333333	.8333333	.7333333	0	0	0	0	1
0	0	.8333333	0	0	.8518519	.25	.75	.8333333	1	.9166667	.5833333	.8333333	0	0	0	0	1
0	1	.75	0	1	.5185185	0	.3333333	.25	.5833333	.8333333	.75	.9	0	0	0	1	0
