countyid	pmccain	medinc	pcollege	punemp	passist	pblack	phisp	ginicnty	logodds
2033	.616	34948	.1101659	.0637594	.034375	.0005671	.020984	.4797	.4726044
2034	.62	40125	.0831583	.0240427	.0085929	0	.0142797	.4806	.4895482
2035	.509	44444	.1041752	.0343922	.0336478	.001224	.0236638	.3992	.0360039
2036	.633	35975	.0832354	.0386792	.0262229	0	.0150482	.4466	.5451086
2037	.596	47771	.0791231	.0425384	.0448207	.0025689	.0244905	.4282	.3888259
2038	.626	58082	.1739361	.0198274	.0349197	.0060792	.0185327	.4057	.5150945
2039	.633	42386	.1312457	.0174944	.0115411	.0017699	.0160653	.4494	.5451086
2040	.697	43906	.1075949	.0364865	.0280992	0	.0147679	.4334	.8330528
2041	.59	38581	.0821511	.1850453	.071875	0	.0224348	.4637	.3639653
2042	.494	43705	.0680039	.0260366	.0069124	0	.026908	.4792	-.0240012
2043	.486	46412	.1190923	.0389864	.0121978	.0058965	.0151881	.4175	-.0560146
2044	.563	45137	.1409382	.0449001	.0257583	.0013809	.0249822	.4594	.2533465
2045	.568	70043	.1530178	.0220671	.007227	.0044829	.0139338	.4281	.2736959
2046	.545	41389	.0790387	.120935	.0888889	0	0	.388	.1804884
2047	.559	46964	.0921076	.033036	.0068431	.0001782	.0194192	.4685	.2371047
2048	.665	35065	.0991136	.0200765	.0398445	.0004029	.0128928	.4402	.6856566
2049	.411	41731	.0873429	.034142	.0093897	.0004335	.0611183	.4398	-.3598329
2050	.648	47504	.1073876	.0394871	.0186248	.0098237	.0311745	.4055	.6102595
2051	.487	52758	.1350959	.043292	.019596	.0338841	.0402228	.4214	-.0520118
2052	.463	49016	.0941973	.0350589	.0279265	0	.0177005	.3885	-.148271
2053	.596	48378	.1199265	.0615527	.0299707	.0100892	.0401562	.4465	.3888259
2054	.508	47983	.1092736	.0198463	.0130619	0	.0146832	.4713	.0320028
2055	.202	27431	.0423237	.2361915	.1574435	.0020747	.0273859	.4961	-1.373841
2056	.655	40609	.1064692	.0472131	.0221595	.0079323	.0024678	.4135	.6410907
2057	.583	50143	.1240876	.0215424	.0061566	.000359	.0144789	.3872	.335101
2058	.56	63773	.13006	.0348595	.0080576	.008195	.020982	.444	.2411621
2059	.629	40879	.1398048	.0625703	.057701	0	.0025787	.4647	.5279292
2060	.623	44872	.0861099	.0802675	.0212314	.0374973	.0229403	.4522	.5023015
2061	.659	39480	.0583	.1132753	.0311468	.0700852	.1104725	.4393	.658841
2062	.57	34152	.0460762	.1284096	.0401538	.0256519	.0167771	.4135	.2818511
2063	.662	35137	.0349834	.1428862	.0284129	.0382269	.0189976	.3949	.6722196
2064	.689	47298	.0888022	.0828771	.0231512	.0290392	.0268721	.4246	.7954484
2065	.742	40541	.0770608	.0977243	.0487412	.0417455	.0451336	.4597	1.05639
2066	.676	31337	.041919	.114582	.0203407	.0043322	.0115936	.4481	.7354496
2067	.609	36742	.0669435	.108636	.0391499	.0171911	.01588	.419	.4431108
2068	.64	36455	.0729283	.1145993	.0379619	.1023936	.0199468	.4434	.5753641
2069	.728	32148	.0719497	.0955924	.018024	.0121422	.0160158	.4344	.9844989
2070	.651	53337	.0914127	.0761909	.0184605	.01739	.0232379	.3963	.6234378
2071	.71	39776	.0487445	.1262295	.0263334	.0925849	.0190842	.4434	.895384
2072	.689	33178	.047625	.0835171	.01363	.0091755	.0090506	.4531	.7954484
2073	.56	28682	.0364563	.08127	.0432133	.0309751	.0079031	.4419	.2411621
2074	.717	28563	.0334429	.1308328	.025209	.0188573	.0179861	.4717	.929629
2075	.637	39268	.0801406	.1118153	.0301777	.0258837	.0377993	.4402	.5623669
2076	.678	36955	.078134	.0930422	.0224269	.0040612	.0230556	.4292	.7445956
2077	.388	46737	.1463938	.0812411	.0246703	.2761446	.0935332	.4894	-.4557269
2078	.651	30311	.052125	.1433962	.0307812	.0219743	.0252108	.5367	.6234378
2079	.578	36870	.0540569	.0964574	.031948	.0153072	.0611753	.4682	.3145686
2080	.598	44201	.0641424	.0853648	.0190334	.040401	.0302145	.4123	.3971386
2081	.682	38909	.0702843	.0835724	.0266309	.1442856	.025941	.4507	.7629782
2082	.632	57437	.1010202	.1106798	.0185895	.2822623	.0229018	.457	.5408066
2083	.711	29245	.0480957	.0915335	.0335661	.0025166	.0099547	.4806	.9002458
2084	.605	41726	.0730187	.1009895	.0292729	.0384091	.0254762	.4344	.4263428
2085	.636	37577	.0729257	.1088663	.0301254	.1896555	.0208388	.459	.5580446
2086	.59	37981	.0552885	.1232272	.0325806	.1097644	.0167931	.4629	.3639653
2087	.706	31711	.0327891	.1140351	.0215884	.0048363	.0216523	.4469	.8760353
2088	.695	36310	.0660478	.0966391	.025641	.0218896	.0246003	.4297	.8236001
2089	.684	39604	.0658935	.1159508	.0250761	.0393468	.1028664	.453	.7722158
2090	.552	45826	.1243004	.0960151	.0268746	.2014643	.0419001	.4824	.2087548
2091	.465	32601	.0446484	.1409922	.0235281	.4106486	.0140937	.4664	-.1402293
2092	.705	32131	.0464266	.1313689	.0448852	.0326179	.0185784	.4764	.8712224
2093	.701	36795	.061047	.0983352	.0192348	.0139874	.0123646	.4344	.8520642
2094	.39	33504	.052263	.1374097	.0351438	.5003979	.0352311	.4485	-.4473123
2095	.708	37627	.050242	.1122206	.0329824	.0701799	.0177707	.4347	.8856903
2096	.604	36463	.0650235	.1211248	.043912	.0778603	.0173748	.4357	.4221599
