postcasey	ideology	libvote	caseyprov	scmedian
0	-.014	1	1	-.0291639
0	.625	1	1	-.0291639
0	-.358	1	1	-.0291639
0	-.466	1	1	-.0291639
0	-.297	1	1	-.0291639
0	-.235	0	0	-.0291639
0	.307	0	0	-.0291639
0	-.058	0	0	-.0291639
0	-.388	1	0	-.0291639
0	-.358	1	0	-.0291639
0	.3005	1	0	-.0291639
0	.196	0	0	-.0786853
0	.3185	0	0	-.0786853
0	.382	0	0	-.0786853
0	.3185	0	0	-.0786853
0	.382	0	0	-.0786853
0	.196	0	0	-.0786853
0	.625	1	0	-.0786853
0	-.014	1	0	-.0786853
0	-.014	1	0	-.0786853
0	-.014	1	1	-.0786853
0	-.388	1	1	-.0786853
0	.625	1	1	-.0786853
0	.3185	0	1	-.0786853
0	.196	0	1	-.0786853
0	.382	0	1	-.0786853
0	.307	1	1	-.0786853
0	-.235	1	1	-.0786853
0	.3445	1	1	-.0786853
0	.385	1	0	-.0661351
0	.379	1	0	-.0661351
0	-.358	1	0	-.0661351
0	.52	1	0	-.0661351
0	-.297	1	0	-.0661351
0	-.463	1	0	-.0661351
0	-.297	1	0	-.0661351
0	.52	0	0	-.0661351
0	-.463	1	0	-.0661351
0	-.388	1	1	-.0661351
0	.625	1	1	-.0661351
0	.483	1	1	-.0661351
0	.073	1	0	-.0661351
0	.51	1	0	-.0661351
0	.203	1	0	-.0661351
0	-.053	1	0	-.0661351
0	.143	1	0	-.0661351
0	.143	1	0	-.0661351
0	.625	1	0	-.0661351
0	-.014	1	0	-.0661351
0	-.388	1	0	-.0661351
0	.488	0	0	-.0661351
0	.0685	0	0	-.0661351
0	.001	0	0	-.0661351
0	-.147	1	1	-.0661351
0	.37	1	1	-.0661351
0	-.463	1	1	-.0661351
0	.196	0	1	-.0893053
0	.382	1	1	-.0893053
0	.3185	1	1	-.0893053
0	-.417	0	1	-.0893053
0	-.358	0	1	-.0893053
0	-.0375	0	1	-.0893053
0	.51	0	0	-.0893053
0	.203	0	0	-.0893053
0	.073	0	0	-.0893053
0	-.058	1	1	-.0893053
0	.405	0	1	-.0893053
0	.543	1	1	-.0893053
0	-.358	1	1	-.0893053
0	.377	1	1	-.0893053
0	.385	1	1	-.0893053
0	.379	1	0	-.0893053
0	.37	1	0	-.0893053
0	.4535	1	0	-.0893053
0	.135	1	1	-.0893053
0	.135	1	1	-.0893053
0	-.358	1	1	-.0893053
0	.4535	1	0	-.0893053
0	-.358	1	0	-.0893053
0	.37	1	0	-.0893053
0	.385	1	0	-.0893053
0	.377	1	0	-.0893053
0	-.358	1	0	-.0893053
0	.385	0	1	-.0893053
0	.377	0	1	-.0893053
0	-.358	0	1	-.0893053
0	.385	1	0	-.1048309
0	.4535	0	0	-.1048309
0	.377	1	0	-.1048309
0	.369	1	0	-.1048309
0	.104	1	0	-.1048309
0	-.466	1	0	-.1048309
0	.286	1	1	-.1048309
0	-.463	1	1	-.1048309
0	.37	1	1	-.1048309
0	.535	0	1	.0337206
0	-.568	0	1	.0337206
0	.51	0	1	.0337206
0	-.379	0	0	-.1048309
0	.375	0	0	-.1048309
0	-.014	0	0	-.1048309
0	-.358	0	0	.0337206
0	.135	0	0	.0337206
0	.2175	0	0	.0337206
0	.405	1	1	.0337206
0	.543	1	1	.0337206
0	-.058	1	1	.0337206
0	-.388	1	1	.0337206
0	.483	1	1	.0337206
0	-.014	1	1	.0337206
0	.432	0	0	.0337206
0	-.085	0	0	.0337206
0	-.422	0	0	.0337206
0	.51	1	0	.0337206
0	-.053	1	0	.0337206
0	.51	1	0	.0337206
0	.51	0	1	.1203453
0	.51	0	1	.1203453
0	.385	0	1	.1203453
0	.385	0	1	.1203453
0	.51	1	1	.1203453
0	.51	1	1	.1203453
0	.543	1	1	.1203453
0	-.257	1	1	.1203453
0	.307	0	1	.1203453
0	-.257	1	1	.1203453
0	.543	1	1	.1203453
0	.307	0	1	.1203453
0	-.014	1	0	.1203453
0	-.388	1	0	.1203453
0	-.388	1	1	.1203453
0	-.014	1	1	.1203453
0	-.249	0	1	.0959553
0	.52	1	1	.0959553
0	-.014	1	1	.0959553
0	-.358	0	0	.0959553
0	-.166	0	0	.0959553
0	-.346	0	0	.0959553
0	.375	0	0	.0959553
0	.053	0	0	.0959553
0	.625	0	0	.0959553
0	-.568	1	0	.1316511
