age	male	unemp	black	hisp	educ2	educ3	educ4	educ5	educ6	income	union	pid	south	inctax	follow	agesq
57	0	0	0	0	0	0	0	0	1	7	0	1	1	26	2	3249
41	0	0	1	0	0	0	0	1	0	8	0	1	1	61	2	1681
63	1	0	1	0	0	0	0	0	1	13	0	1	1	76	3	3969
54	1	0	0	0	0	0	0	1	0	8	0	2	1	51	2	2916
45	0	0	0	0	0	0	0	1	0	9	0	5	1	25	3	2025
40	1	0	0	0	0	0	0	1	0	13	0	7	1	1	3	1600
46	1	0	0	0	0	0	0	1	0	11	0	4	1	3	3	2116
39	0	0	1	0	0	0	0	1	0	7	0	1	1	51	3	1521
69	1	0	0	0	1	0	0	0	0	5	0	7	1	26	3	4761
49	0	0	0	0	0	1	0	0	0	12	0	5	1	34	2	2401
23	0	1	0	0	0	0	0	1	0	8	0	1	1	16	1	529
66	1	0	0	0	0	1	0	0	0	10	0	5	1	66	3	4356
52	1	0	0	0	0	1	0	0	0	6	0	1	1	51	1	2704
53	1	0	0	0	0	0	0	0	1	10	0	5	1	16	3	2809
47	1	0	0	0	0	1	0	0	0	11	0	7	1	4	3	2209
24	0	0	1	0	0	1	0	0	0	9	0	1	1	50	2	576
72	0	0	0	0	0	0	0	1	0	13	0	7	1	50	3	5184
78	0	0	0	0	0	1	0	0	0	1	0	5	1	75	3	6084
37	0	0	0	0	1	0	0	0	0	8	0	1	1	48	0	1369
74	1	0	0	0	0	0	0	1	0	14	0	6	1	2	3	5476
49	0	0	0	1	0	0	0	1	0	12	0	2	1	38	2	2401
48	1	0	0	0	0	0	0	1	0	14	0	7	1	10	3	2304
28	0	1	1	0	0	0	0	1	0	6	0	1	1	50	2	784
82	0	0	0	0	0	1	0	0	0	6	0	5	1	73	3	6724
52	1	0	0	0	0	0	0	0	1	14	0	7	1	26	3	2704
22	0	0	0	0	0	1	0	0	0	1	0	1	1	9	1	484
54	0	0	0	0	0	1	0	0	0	13	0	6	1	44	2	2916
71	1	0	0	0	0	1	0	0	0	8	0	5	1	50	3	5041
33	1	0	0	0	0	0	0	1	0	11	0	6	1	34	3	1089
40	1	0	0	0	0	1	0	0	0	14	0	5	1	38	3	1600
27	1	0	0	0	0	0	0	1	0	9	0	7	1	2	3	729
44	0	0	0	0	0	1	0	0	0	11	0	7	1	5	2	1936
49	0	0	0	0	0	1	0	0	0	8	0	5	1	3	3	2401
30	0	0	0	0	0	1	0	0	0	9	0	6	1	17	2	900
66	1	0	0	0	1	0	0	0	0	3	0	5	1	3	3	4356
40	1	0	0	0	0	1	0	0	0	11	0	5	1	26	3	1600
